station_code,station_name,city,state,zone,latitude,longitude,active
SPQ,SORUPETA,SORUPETA,Unknown,Unknown,26.4996888512,91.0760593414,true
SPT,SOMPETA,SOMPETA,Unknown,Unknown,18.981296999999998,84.58149999999999,true
SPZ,SAMPLA,Sampla,Haryana,NR,28.781933000000002,76.773299,true
SQL,SONTALAI,Itarsi,Madhya Pradesh,WCR,22.613017999999997,77.94977499999999,true
SQN,SARAI KANSRAI,SARAI KANSRAI,Unknown,Unknown,25.516633,82.34519800000001,true
SQQ,SALAGAON,SALAGAON,Unknown,Unknown,20.56434,85.957487,true
SQS,SIGSIGI,SIGSIGI,Unknown,Unknown,24.260566999999998,83.853323,true
SR,SABLI ROAD,State Highway 17,Gujarat,WR,23.0348065663,71.9526427954,true
SRA,SEMRA,National Highway 28A,Bihar,ECR,26.711946963,84.8136981409,true
SRAS,SIRAS,SIRAS,Unknown,Unknown,26.2571138478,76.00108138670001,true
SRB,SAROBAG,SAROBAG,Unknown,Unknown,25.273371220999998,86.4765552539,true
SRC,SANTRAGACHI JN,SANTRAGACHI JN,Unknown,Unknown,22.58393,88.284011,true
SRE,SAHARANPUR,SAHARANPUR,Unknown,Unknown,29.960529,77.54173899999999,true
SRGM,SRIRANGAM,SRIRANGAM,Unknown,Unknown,10.857918,78.696348,true
SRGP,SARAGIPALLI,SARAGIPALLI,Unknown,Unknown,20.98404,84.565386,true
SRGT,SURENDRANAGAR GATE,Surendranagar,Gujarat,WR,22.734565,71.636053,true
SRI,SALMARI,SALMARI,Unknown,Unknown,25.6156715055,87.8375132959,true
SRID,SHRIDHAM,Shridham,Madhya Pradesh,WCR,23.033843,79.484397,true
SRJ,SHANKARGARH,Shankargarh,Madhya Pradesh,NCR,25.1813005966,81.6190324237,true
SRJM,SIRJAM,Purulia District,West Bengal,SER,23.403864,86.83509699999999,true
SRK,SAMRAU,State Highway 61,Rajasthan,NWR,26.8662,72.721146,true
SRKI,SEMARKHERI,SEMARKHERI,Unknown,Unknown,24.288941,78.177733,true
SRKT,SARKANTRA,SARKANTRA,Unknown,Unknown,20.228282,85.79623099999999,true
SRL,SAROLA,SAROLA,Unknown,Unknown,18.947656000000002,74.64829499999999,true
SRMR,SRIRAMPURAM,SRIRAMPURAM,Unknown,Unknown,17.1172617982,79.212404903,true
SRMT,Sirmuttra,Sir Mathura,Rajasthan,NCR,26.518904,77.375168,true
SRNR,SRIRAMNAGAR,SRIRAMNAGAR,Unknown,Unknown,16.306568,77.865894,true
SRNT,SARNATH,Varanasi,Uttar Pradesh,NER,25.375998,83.032634,true
SRO,SIRATHU,SIRATHU,Unknown,Unknown,25.650642,81.31786,true
SRP,SERAMPORE,SERAMPORE,Unknown,Unknown,22.753967999999997,88.338031,true
SRPB,SRIRAMPUR ASSAM,SRIRAMPUR ASSAM,Unknown,Unknown,26.4269150632,89.903914613,true
SRPJ,SWARUPGANJ,Sirohi Road,Rajasthan,NWR,24.6581702628,72.9319259351,true
SRPM,SIRIPURAM,SIRIPURAM,Unknown,Unknown,16.412602999999997,80.295123,true
SRPU,SRIPUR HALT,SRIPUR HALT,Unknown,Unknown,25.2570761576,88.0440169482,true
SRR,SHORANUR JN,SHORANUR JN,Unknown,Unknown,10.758854999999999,76.27219600000001,true
SRRB,SHORANUR B CABIN,SHORANUR B CABIN,Unknown,Unknown,10.759868,76.271,true
SRRG,SURERGOTH,State Highway 25,Rajasthan,NWR,27.18282,76.605353,true
SRT,SATUR,Sattur,Tamil Nadu,SR,9.357545,77.92156999999999,true
SRTE,Soorothee,Bari,Rajasthan,NCR,26.657818,77.70277399999999,true
SRTL,SHERTALAI,SHERTALAI,Unknown,Unknown,9.690992,76.325151,true
SRTN,SIBSAGAR TOWN,Sibsagar,Assam,NFR,26.989967999999998,94.643517,true
SRUR,SIRPUR TOWN,SIRPUR TOWN,Unknown,Unknown,19.479063,79.560418,true
SRVX,SURAVALI,Margao,Goa,KR,15.291947,73.939328,true
SRWN,SARASWATINAGAR,SARASWATINAGAR,Unknown,Unknown,21.251382,81.603905,true
SRX,SURA NUSSI,SURA NUSSI,Unknown,Unknown,31.380553,75.541964,true
SS,SHIRSOLI,SHIRSOLI,Unknown,Unknown,20.932994,75.507613,true
SSA,Sirsa,Sirsa,Haryana,NWR,29.539153,75.034944,true
SSB,SHAKURBASTI,Pitampura,Delhi NCT,NR,28.680227328700003,77.1299115857,true
SSG,SHIU SAGAR ROAD,SHIU SAGAR ROAD,Unknown,Unknown,24.999464999999997,83.895453,true
SSIA,SUISA,SUISA,Unknown,Unknown,23.196775,85.909013,true
SSL,SIRSAUL,SIRSAUL,Unknown,Unknown,26.297301,80.462852,true
SSM,SASARAM,SASARAM,Unknown,Unknown,24.955926,84.019423,true
SSN,SASON,SASON,Unknown,Unknown,21.5595350543,84.03917034669999,true
SSNH,SREE SARADANAGAR HALT,Tiptur,Karnataka,SWR,13.260739,76.454627,true
SSPN,SATYA SAI P NILAYAM,SATYA SAI P NILAYAM,Unknown,Unknown,14.160468,77.757559,true
SSPR,SADASHIBAPUR,SADASHIBAPUR,Unknown,Unknown,20.735286,85.504693,true
SSV,SASVAD ROAD,Sasvad,Maharashtra,CR,18.4732023111,73.9546461121,true
SSW,SARSAWA,SARSAWA,Unknown,Unknown,30.024226,77.42396000000001,true
SSZ,SADDA SINGHWALA,State Highway 12A,Punjab,NR,30.0282558081,75.32479556150001,true
ST,SURAT,SURAT,Unknown,Unknown,21.206568,72.840793,true
STA,SATNA,Satna,Madhya Pradesh,WCR,24.568619,80.827717,true
STBJ,Sitabanji,National Highway 215,Orissa,ECoR,21.500203,85.79053,true
STC,SANTA CRUZ,Mumbai,Maharashtra,WR,19.082018,72.84133899999999,true
STJT,SATHAJAGAT,SATHAJAGAT,Unknown,Unknown,25.631007269799998,85.86778899539999,true
STKT,SASTHANKOTTA,SASTHANKOTTA,Unknown,Unknown,9.0323103106,76.59888294679999,true
STL,SIMULTALA,SIMULTALA,Unknown,Unknown,24.713365,86.541782,true
STLI,SITHOULI,SITHOULI,Unknown,Unknown,26.145594,78.18700399999999,true
STLR,SITALPUR,SITALPUR,Unknown,Unknown,25.768739999999998,85.03663800000001,true
STM,ST THOMAS MOUNT,ST THOMAS MOUNT,Unknown,Unknown,12.994906,80.199392,true
STN,SITARAMPUR,SITARAMPUR,Unknown,Unknown,23.723864,86.896472,true
STPD,SITAFAL MANDI,SITAFAL MANDI,Unknown,Unknown,17.428339,78.520289,true
STPT,SITAMPET,SITAMPET,Unknown,Unknown,16.797409,81.211206,true
STR,SATARA,SH 58,Maharashtra,CR,17.688361,74.063727,true
STSN,SHAITAN SINGH NAGAR,State Highway 61,Rajasthan,NWR,27.052218,72.468139,true
STW,SAHATWAR,SAHATWAR,Unknown,Unknown,25.827831,84.295491,true
SUA,SARDIHA,SARDIHA,Unknown,Unknown,22.380612,87.12364500000001,true
SUD,SUDHANI,SUDHANI,Unknown,Unknown,25.727853611399997,87.87948867189999,true
SUDV,SUMMADEVI,SUMMADEVI,Unknown,Unknown,18.808896999999998,84.467259,true
SUF,SESAPANI,SESAPANI,Unknown,Unknown,26.386181999999998,90.225701,true
SUH,SULEHALLI,SULEHALLI,Unknown,Unknown,17.0804109748,77.05225732059999,true
SUJ,SARJU,SARJU,Unknown,Unknown,27.111885,81.648076,true
SUL,SULADHAL,Belagavi,Karnataka,SWR,16.001728105999998,74.67814298520001,true
SUM,SUMMIT,SUMMIT,Unknown,Unknown,20.2117506011,74.3431299774,true
SUMR,SUMER,SUMER,Unknown,Unknown,23.624616,77.879427,true
SUNR,SURENDRANAGAR,Surendra Nagar,Gujarat,WR,22.7443,71.630056,true
SUR,SOLAPUR JN,SOLAPUR JN,Unknown,Unknown,17.664496,75.893401,true
SURL,SURELI,SURELI,Unknown,Unknown,26.118939,76.077102,true
SUU,SULUR ROAD,SULUR ROAD,Unknown,Unknown,11.049634,77.11729,true
SUW,SUKHISEWANIYAN,SUKHISEWANIYAN,Unknown,Unknown,23.34076,77.48596599999999,true
SV,SIWAN JN,SIWAN JN,Unknown,Unknown,26.210724000000003,84.359267,true
SVA,SUWASRA,SUWASRA,Unknown,Unknown,24.069844,75.64834400000001,true
SVB,Savni,Maljinjava,Gujarat,WR,20.994517,70.471495,true
SVF,SRI VENKATAPERU,SRI VENKATAPERU,Unknown,Unknown,13.511599,79.514324,true
